Municípios,Código,Gentílico,População 2010,Área da unidade territorial (km²),Densidade demográfica (hab/km²),PIB a preços correntes
Adamantina,3500105,adamantinense,33.797,"411,39","82,2",598.647
Adolfo,3500204,adolfino,3.557,"211,08","16,9",109.17
Aguaí,3500303,aguaiano,32.148,"474,74","67,7",693.756
Águas da Prata,3500402,pratense,7.584,"142,96","53,1",122.859
Águas de Lindóia,3500501,lindoiense,17.266,"60,13","287,2",230.44
Águas de Santa Bárbara,3500550,santa-barbarense,5.601,"404,94","13,8",140.323
Águas de São Pedro,3500600,água-pedrense,2.707,"5,54","488,9",63.823
Agudos,3500709,agudense,34.524,"966,16","35,7",1.113.865
Alambari,3500758,alambariense,4.884,"159,27","30,7",103.011
Alfredo Marcondes,3500808,marcondense,3.891,"118,40","32,9",53.364
Altair,3500907,altairense,3.815,"313,86","12,2",169.554
Altinópolis,3501004,altinopolense,15.607,"928,96","16,8",338.942
Alto Alegre,3501103,alto-alegrense,4.102,"319,04","12,9",75.726
Alumínio,3501152,aluminense,16.839,"83,66","201,3",1.478.368
Álvares Florence,3501202,alvares florencense,3.897,"362,94","10,7",80.618
Álvares Machado,3501301,machadense,23.513,"347,38","67,7",252.236
Álvaro de Carvalho,3501400,álvaro-carvalhense,4.65,"153,17","30,4",48.782
Alvinlândia,3501509,alvinlandense,3,"84,80","35,4",40.336
Americana,3501608,americanense,210.638,"133,93","1.572,8",6.857.069
Américo Brasiliense,3501707,américo-brasiliense,34.478,"122,74","280,9",696.685
Américo de Campos,3501806,americampense,5.706,"253,10","22,5",78.144
Amparo,3501905,amparense,65.829,"445,55","147,8",2.244.518
Analândia,3502002,analandense,4.293,"325,67","13,2",96.707
Andradina,3502101,andradinense,55.334,"964,19","57,4",1.401.394
Angatuba,3502200,angatubense,22.21,"1.027,98","21,6",562.008
Anhembi,3502309,anhembiense,5.653,"736,56","7,7",116.31
Anhumas,3502408,anhumense,3.738,"320,45","11,7",43.135
Aparecida,3502507,aparecidense,35.007,"121,08","289,1",484.744
Aparecida d`Oeste,3502606,aparecidense,4.45,"179,02","24,9",59.622
Apiaí,3502705,apiaiense,25.191,"974,32","25,9",378.323
Araçariguama,3502754,araçariguamense,17.08,"145,20","117,6",1.458.945
Araçatuba,3502804,araçatubense,181.579,"1.167,44","155,5",3.901.472
Araçoiaba da Serra,3502903,araçoiabano,27.299,"255,43","106,9",412.243
Aramina,3503000,araminense,5.152,"202,89","25,4",95.785
Arandu,3503109,aranduense,6.123,"285,91","21,4",112.483
Arapeí,3503158,arapeiense,2.493,"156,90","15,9",30.97
Araraquara,3503208,araraquarense,208.662,"1.003,67","207,9",5.232.382
Araras,3503307,ararense,118.843,"644,83","184,3",2.755.678
Arco-Íris,3503356,arcoirense,1.925,"264,73","7,3",51.561
Arealva,3503406,arealvense,7.841,"504,97","15,5",158.184
Areias,3503505,areiense,3.696,"305,23","12,1",39.999
Areiópolis,3503604,areiopolitano,10.579,"85,77","123,4",116.885
Ariranha,3503703,ariranhense,8.547,"133,15","64,2",585.6
Artur Nogueira,3503802,nogueirense,44.177,"178,03","248,2",672.643
Arujá,3503901,arujaense,74.905,"96,11","779,3",2.058.998
Aspásia,3503950,aspasiense,1.809,"69,34","26,1",29.906
Assis,3504008,assisense,95.144,"460,31","206,7",1.651.864
Atibaia,3504107,atibaiano,126.603,"478,52","264,6",3.374.073
Auriflama,3504206,auriflamense,14.202,"433,99","32,7",236.145
Avaí,3504305,avaiense,4.959,"540,46","9,2",115.603
Avanhandava,3504404,avanhandavense,11.31,"338,64","33,4",165.362
Avaré,3504503,avareense,82.934,"1.213,06","68,4",1.352.202
Bady Bassitt,3504602,badiense,14.603,"110,36","132,3",431.286
Balbinos,3504701,balbinense,3.702,"91,64","40,4",33.804
